	Depth	Pressure	Temp deg. C	Fluorescence 	Oxygen % Sat	Oxygen mg/l	PAR	Salinity	flag		Pressure [psi]	Temp deg. C	Chlor a [mg/m^3]	Oxygen % Sat	Oxygen mg/l	PAR	Salinity [PSU]
cast35	33	48.268	8.8738	34.0241	90.72514	9.4536	1.96E+01	31.6288	0.00E+00								
cast35	34	49.65	8.8739	33.7842	90.59386	9.45369	1.75E+01	31.6293	0.00E+00								
cast35	35	51.148	8.874	33.736	90.61421	9.45341	1.57E+01	31.6338	0.00E+00								
cast35	36	52.72	8.8743	33.6741	90.78339	9.45332	1.44E+01	31.6346	0.00E+00								
cast35	37	54.269	8.8742	33.8969	90.93386	9.45339	1.33E+01	31.6328	0.00E+00								
cast35	38	55.694	8.8739	33.8965	90.92753	9.45371	1.21E+01	31.6278	0.00E+00								
cast35	39	57.035	8.8736	33.9049	-80.50331	9.45387	1.10E+01	31.6269	0.00E+00								
cast35	40	58.382	8.8731	33.9045	-174.14819	9.45393	9.96E+00	31.6267	0.00E+00								
cast35	41	59.717	8.873	33.9205	-9.99E-29	9.45396	9.04E+00	31.6278	0.00E+00								
cast35	42	61.008	8.8732	33.958	-9.99E-29	9.45391	8.25E+00	31.6289	0.00E+00								
cast35	43	62.144	8.8737	34.0448	-9.99E-29	9.4538	7.58E+00	31.6295	0.00E+00								
cast35	44	63.091	8.8806	12.5023	-9.99E-29	9.45325	3.83E+00	31.6365	0.00E+00								
cast36	1	1.664	9.2167	33.9579	90.19286	9.31722	6.56E+02	31.2999	0.00E+00								
cast36	2	3.243	9.106	31.2409	88.81387	9.39407	3.10E+02	31.9463	0.00E+00								
cast36	3	4.822	9.0998	32.2496	87.30368	9.38866	2.89E+02	31.8245	0.00E+00								
cast36	4	6.055	9.0688	32.5545	87.91424	9.39642	2.37E+02	31.8447	0.00E+00								
cast36	5	7.474	9.0645	32.8068	90.50078	9.39915	1.92E+02	31.8583	0.00E+00								
cast36	6	8.904	9.0521	33.2517	92.13611	9.40382	1.58E+02	31.7909	0.00E+00								
