	Depth	Pressure	Temp deg. C	Fluorescence 	Oxygen % Sat	Oxygen mg/l	PAR	Salinity	flag	Depth [m]	Pressure [psi]	Temp deg. C	Chlor a [mg/m^3]	Oxygen % Sat	Oxygen mg/l	PAR	Salinity [PSU]
cast15	22	32.215	8.9708	32.5717	88.8508	9.4805	3.01E+00	30.6052	0.00E+00								
cast15	23	33.685	8.8359	32.6015	88.77899	9.50057	2.59E+00	30.8466	0.00E+00								
cast15	24	35.46	8.7633	32.6029	91.85949	9.51448	2.36E+00	30.9308	0.00E+00								
cast15	25	36.871	8.7089	32.7129	91.88259	9.52399	2.18E+00	30.9451	0.00E+00								
cast15	26	38.144	8.6804	32.9358	91.3657	9.53149	2.03E+00	30.9745	0.00E+00								
cast15	27	39.493	8.6679	32.8521	90.92147	9.53446	1.91E+00	30.9997	0.00E+00								
cast15	28	40.984	8.6637	32.8719	90.63309	9.53553	1.82E+00	31.0188	0.00E+00								
cast15	29	42.46	8.6615	32.888	90.64134	9.53588	1.76E+00	31.0181	0.00E+00								
cast15	30	43.987	8.6482	32.8444	91.02711	9.53672	1.71E+00	31.0254	0.00E+00								
cast15	31	45.425	8.6336	32.9342	91.0363	9.53939	1.67E+00	31.0317	0.00E+00								
cast15	32	46.818	8.6136	32.9963	90.50321	9.54164	1.65E+00	31.0449	0.00E+00								
cast15	33	48.2	8.6021	33.025	90.12602	9.5448	1.62E+00	31.0692	0.00E+00								
cast15	34	49.702	8.5915	32.9096	90.37519	9.54568	1.60E+00	31.0844	0.00E+00								
cast15	35	51.282	8.5855	33.0829	91.09737	9.54743	1.59E+00	31.0955	0.00E+00								
cast15	36	52.841	8.5871	33.045	91.38278	9.54821	1.58E+00	31.085	0.00E+00								
cast15	37	54.254	8.5733	33.0933	91.23814	9.54921	1.57E+00	31.0827	0.00E+00								
cast15	38	55.644	8.5674	33.2766	90.98838	9.55125	1.57E+00	31.0919	0.00E+00								
cast15	39	57.064	8.5672	33.0319	90.71026	9.55193	1.56E+00	31.0935	0.00E+00								
cast15	40	58.532	8.5651	33.0742	90.53978	9.55188	1.56E+00	31.094	0.00E+00								
cast15	41	60.018	8.5624	33.1755	90.73788	9.55241	1.56E+00	31.0984	0.00E+00								
cast15	42	61.565	8.5584	33.3192	91.04295	9.5526	1.55E+00	31.0991	0.00E+00								
cast15	43	62.952	8.5438	33.1765	90.91338	9.55426	1.55E+00	31.1016	0.00E+00								
cast15	44	64.286	8.5335	33.1813	89.4128	9.55661	1.55E+00	31.1115	0.00E+00								
cast15	45	65.515	8.53	33.3176	86.72964	9.55793	1.55E+00	31.1164	0.00E+00								
cast15	46	66.926	8.5325	33.2797	84.01056	9.55637	1.54E+00	31.1514	0.00E+00								
cast15	47	68.544	8.5491	33.2159	84.41182	9.55123	1.55E+00	31.1789	0.00E+00								
cast15	48	69.506	8.8596	33.0846	79.85504	9.50041	1.55E+00	31.1045	0.00E+00								
cast20	1	1.641	10.258	30.3212	89.69352	9.31302	1.25E+02	29.1563	0.00E+00								
cast20	2	2.913	10.2498	33.086	85.74216	9.31636	6.98E+01	29.1875	0.00E+00								
cast20	3	4.473	10.2363	33.7376	86.85123	9.31406	4.77E+01	29.1932	0.00E+00								
cast20	4	6.062	10.1271	33.8452	87.23792	9.32621	3.62E+01	29.3048	0.00E+00								
cast20	5	7.529	10.058	33.8895	87.42021	9.3341	3.00E+01	29.4249	0.00E+00								
cast20	6	8.953	9.9875	33.9736	90.10705	9.33946	2.70E+01	29.5656	0.00E+00								
cast20	7	10.352	9.9323	34.0838	91.20983	9.34515	2.36E+01	29.6631	0.00E+00								
cast20	8	11.79	9.8758	34.1126	91.4759	9.35028	2.02E+01	29.7735	0.00E+00								
cast20	9	13.284	9.8312	34.0126	92.39224	9.35555	1.77E+01	29.8714	0.00E+00								
cast20	10	14.867	9.798	33.9829	93.03469	9.35949	1.54E+01	29.9293	0.00E+00								
cast20	11	16.301	9.7582	34.0229	92.89629	9.36225	1.31E+01	29.9888	0.00E+00								
cast20	12	17.604	9.7208	34.0558	92.51717	9.36632	1.09E+01	30.0451	0.00E+00								
cast20	13	18.971	9.6728	34.0995	92.23886	9.3689	9.06E+00	30.1405	0.00E+00								
cast20	14	20.454	9.641	34.1063	92.30608	9.3739	7.70E+00	30.2313	0.00E+00								
cast20	15	21.987	9.607	34.1205	92.61329	9.37654	6.66E+00	30.2871	0.00E+00								
cast20	16	23.437	9.5657	34.188	92.55474	9.38069	5.78E+00	30.3412	0.00E+00								
cast20	17	24.808	9.5371	34.1937	92.06077	9.38524	5.00E+00	30.3967	0.00E+00								
cast20	18	26.231	9.5062	34.2168	91.64085	9.38862	4.34E+00	30.4411	0.00E+00								
cast20	19	27.757	9.4655	34.2897	91.08811	9.39321	3.79E+00	30.491	0.00E+00								
cast20	20	29.373	9.4156	34.3204	90.50439	9.39917	3.35E+00	30.5497	0.00E+00								
cast20	21	30.925	9.3306	34.3128	90.9454	9.40615	3.02E+00	30.6144	0.00E+00								
cast20	22	32.359	9.0526	34.3598	91.69679	9.4194	2.75E+00	30.7045	0.00E+00								
cast20	23	33.744	8.7183	34.3673	92.02999	9.47157	2.52E+00	30.9076	0.00E+00								
cast20	24	35.071	8.6246	34.3139	91.85853	9.51743	2.38E+00	31.1404	0.00E+00								
cast20	25	36.442	8.5948	34.2755	91.80146	9.53319	2.26E+00	31.2265	0.00E+00								
cast20	26	37.928	8.5844	34.2172	91.7418	9.53713	2.16E+00	31.2526	0.00E+00								
cast20	27	39.43	8.5801	34.5367	91.17898	9.53836	2.08E+00	31.2563	0.00E+00								
cast20	28	40.876	8.5711	34.5345	90.63007	9.53961	2.00E+00	31.2536	0.00E+00								
cast20	29	42.444	8.5578	34.4561	91.04097	9.54168	1.94E+00	31.2665	0.00E+00								
cast20	30	44.146	8.5482	34.3156	91.783	9.54381	1.88E+00	31.2706	0.00E+00								
cast20	31	45.574	8.5375	34.1729	92.03802	9.54618	1.83E+00	31.2598	0.00E+00								
cast20	32	46.937	8.5315	34.2285	92.10803	9.54789	1.79E+00	31.2659	0.00E+00								
cast20	33	48.392	8.5256	34.3324	92.0886	9.54882	1.76E+00	31.2706	0.00E+00								
cast20	34	49.868	8.5086	34.4651	92.10785	9.55058	1.73E+00	31.2684	0.00E+00								
cast20	35	51.293	8.4883	34.5239	91.91765	9.55425	1.70E+00	31.2725	0.00E+00								
cast20	36	52.705	8.4777	34.285	91.59191	9.55757	1.68E+00	31.2822	0.00E+00								
cast20	37	54.097	8.4737	34.4677	91.31954	9.55919	1.66E+00	31.2884	0.00E+00								
cast20	38	55.541	8.4656	34.6562	91.16539	9.56	1.65E+00	31.2909	0.00E+00								
cast20	39	56.986	8.4563	34.5267	91.01225	9.56187	1.63E+00	31.293	0.00E+00								
cast20	40	58.429	8.453	34.5328	90.83268	9.56323	1.62E+00	31.2997	0.00E+00								
cast20	41	59.904	8.4541	34.5014	90.74354	9.56337	1.61E+00	31.3031	0.00E+00								
cast20	42	61.425	8.4538	34.6638	90.81931	9.5632	1.60E+00	31.3025	0.00E+00								
cast20	43	62.964	8.4495	34.7266	90.92234	9.56363	1.60E+00	31.2996	0.00E+00								
cast20	44	64.403	8.4364	34.6551	90.56974	9.56571	1.59E+00	31.2919	0.00E+00								
cast20	45	65.796	8.4297	34.607	89.37623	9.56808	1.59E+00	31.2959	0.00E+00								
cast20	46	67.125	8.428	34.7186	88.49756	9.56882	1.58E+00	31.2993	0.00E+00								
cast20	47	68.725	8.4276	34.7039	89.45087	9.56875	1.58E+00	31.3057	0.00E+00								
cast20	48	70.571	8.426	34.7781	91.44961	9.56898	1.58E+00	31.3016	0.00E+00								
cast20	49	72.046	8.4196	34.8237	91.66824	9.57043	1.57E+00	31.2925	0.00E+00								
cast20	50	73.312	8.4139	34.587	91.40141	9.57163	1.57E+00	31.2907	0.00E+00								
cast20	51	74.676	8.411	34.6738	91.22787	9.57261	1.57E+00	31.2961	0.00E+00								
cast20	52	76.167	8.4093	34.7548	91.33397	9.57264	1.57E+00	31.3016	0.00E+00								
cast20	53	77.637	8.405	34.8098	91.4134	9.57328	1.56E+00	31.3006	0.00E+00								
cast20	54	79.06	8.4057	34.5494	91.26232	9.57384	1.56E+00	31.303	0.00E+00								
cast20	55	80.487	8.4078	34.3979	91.07952	9.57347	1.56E+00	31.3031	0.00E+00								
cast20	56	81.946	8.4068	34.7675	91.01901	9.57322	1.56E+00	31.302	0.00E+00								
cast20	57	83.503	8.4046	34.4805	91.00885	9.57346	1.56E+00	31.3039	0.00E+00								
cast20	58	85.013	8.4012	34.4432	91.05017	9.57404	1.56E+00	31.303	0.00E+00								
cast20	59	86.466	8.3999	34.5389	91.13445	9.57467	1.56E+00	31.3039	0.00E+00								
cast20	60	87.911	8.3957	34.2605	91.23873	9.57501	1.56E+00	31.3016	0.00E+00								
cast20	61	89.335	8.3903	34.2536	91.30169	9.57615	1.56E+00	31.3015	0.00E+00								
cast20	62	90.851	8.3816	34.366	91.34885	9.57707	1.56E+00	31.3069	0.00E+00								
cast20	63	92.286	8.375	34.479	91.27225	9.57851	1.56E+00	31.3147	0.00E+00								
cast20	64	93.661	8.3739	34.5898	91.03792	9.57945	1.56E+00	31.3187	0.00E+00								
cast20	65	95.022	8.3636	34.6458	90.7307	9.57938	1.56E+00	31.3264	0.00E+00								
cast20	66	96.391	8.3532	34.6888	90.5601	9.58069	1.56E+00	31.3452	0.00E+00								
cast20	67	97.741	8.3473	34.4292	90.19456	9.58192	1.56E+00	31.3579	0.00E+00								
cast20	68	99.056	8.3428	34.4866	88.60744	9.58247	1.56E+00	31.37	0.00E+00								
