Cruise	Station	Type	mon/day/yr	hh:mm	Lon (E)	Lat (N)	Bot. Depth [m]	Press	Depth [m]	Temperature [C]	Sigma	Salinity [psu]	oxper [%]	oxconc	tran [v]	flour [v]
6	25	c	9/8/2004	15:08	-152.685	58.635	88	16	15.85	10.7756	23.5695	30.8305	99.89692	9.10523	3.7866	2.0456
6	25	c	9/8/2004	15:08	-152.685	58.635	88	17	16.84	10.6407	23.6822	30.9458	99.31656	9.0725	3.7676	2.2953
6	25	c	9/8/2004	15:08	-152.685	58.635	88	18	17.831	10.6232	23.7301	31.0036	97.51042	8.90766	3.7388	2.2051
6	25	c	9/8/2004	15:08	-152.685	58.635	88	19	18.821	10.5241	23.7772	31.0426	93.52538	8.56004	3.773	1.7496
6	25	c	9/8/2004	15:08	-152.685	58.635	88	20	19.812	10.3696	23.8365	31.0855	89.37359	8.20558	3.8927	1.2334
6	25	c	9/8/2004	15:08	-152.685	58.635	88	21	20.803	10.1311	23.9361	31.1627	87.09906	8.03509	4.1029	0.8348
6	25	c	9/8/2004	15:08	-152.685	58.635	88	22	21.793	10.0439	23.9739	31.1928	85.8222	7.93111	4.191	0.7411
6	25	c	9/8/2004	15:08	-152.685	58.635	88	23	22.784	9.9862	23.9998	31.214	85.21181	7.8837	4.2276	0.6207
6	25	c	9/8/2004	15:08	-152.685	58.635	88	24	23.774	9.9637	24.0102	31.2226	84.80072	7.84915	4.2535	0.561
6	25	c	9/8/2004	15:08	-152.685	58.635	88	25	24.765	9.9552	24.0135	31.2249	84.35802	7.80953	4.2693	0.6165
6	25	c	9/8/2004	15:08	-152.685	58.635	88	26	25.755	9.9347	24.02	31.2291	83.85031	7.76586	4.2731	0.6611
6	25	c	9/8/2004	15:08	-152.685	58.635	88	27	26.746	9.9089	24.0303	31.2368	83.52781	7.74003	4.2569	0.5525
6	25	c	9/8/2004	15:08	-152.685	58.635	88	28	27.736	9.9004	24.0348	31.2408	83.37163	7.72682	4.2799	0.5908
6	25	c	9/8/2004	15:08	-152.685	58.635	88	29	28.727	9.8908	24.0395	31.2448	83.25739	7.71769	4.2812	0.5088
6	25	c	9/8/2004	15:08	-152.685	58.635	88	30	29.717	9.8838	24.0425	31.2472	83.14908	7.70873	4.2985	0.4905
6	25	c	9/8/2004	15:08	-152.685	58.635	88	31	30.708	9.8787	24.047	31.2519	83.12112	7.70678	4.2866	0.5201
6	25	c	9/8/2004	15:08	-152.685	58.635	88	32	31.699	9.8754	24.0508	31.2561	83.29728	7.72347	4.2878	0.5737
6	25	c	9/8/2004	15:08	-152.685	58.635	88	33	32.689	9.8183	24.0635	31.2606	83.09184	7.71396	4.2831	0.534
6	25	c	9/8/2004	15:08	-152.685	58.635	88	34	33.679	9.7185	24.0844	31.2666	82.35946	7.66267	4.286	0.4454
6	25	c	9/8/2004	15:08	-152.685	58.635	88	35	34.67	9.65	24.1047	31.2787	81.68541	7.61098	4.3163	0.3684
6	25	c	9/8/2004	15:08	-152.685	58.635	88	36	35.66	9.6032	24.1234	31.293	81.16075	7.56931	4.3476	0.3379
6	25	c	9/8/2004	15:08	-152.685	58.635	88	37	36.651	9.5631	24.1392	31.3051	80.25888	7.49132	4.3635	0.3444
6	25	c	9/8/2004	15:08	-152.685	58.635	88	38	37.641	9.458	24.1825	31.3393	79.60926	7.44653	4.3622	0.289
6	25	c	9/8/2004	15:08	-152.685	58.635	88	39	38.632	9.3792	24.2163	31.3666	79.39271	7.4381	4.399	0.2432
6	25	c	9/8/2004	15:08	-152.685	58.635	88	40	39.622	9.3442	24.2295	31.3765	79.02894	7.40935	4.4109	0.2555
